glad,0.64,0.268,0.5,0.268,0.64
good,0.656,0.165,0.475,0.165,0.656
gorgeous,0.876,0.1918,0.75,0.1918,0.876
gratitude,0.672,0.5446,0.575,0.5446,0.672
great,0.734,0.2354,0.775,0.2354,0.775
greetings,0.64,0.3836,0.45,0.3836,0.64
grin,0.672,0.3596,0.525,0.3596,0.672
ha,0.312,0.205,0.35,0.205,0.35
haha,0.406,0.1732,0.5,0.1732,0.5
hahaha,0.61,0.197,0.65,0.197,0.65
happy,0.734,0.2392,0.675,0.2392,0.734
hard,-0.454,-0.0994,-0.1,-0.454,-0.0994
hate,-0.874,-0.3702,-0.675,-0.874,-0.3702
hates,-0.812,-0.4108,-0.475,-0.812,-0.4108
hatred,-0.874,-0.0794,-0.8,-0.874,-0.0794
heartbroken,-0.562,-0.5836,-0.825,-0.825,-0.562
heh,0.14,0.2884,-0.15,-0.15,0.2884
hell,-0.766,-0.0756,-0.9,-0.9,-0.0756
help,0.11,-0.0376,0.425,-0.0376,0.425
helpful,0.876,0.206,0.45,0.206,0.876
hide,0.11,-0.0032,-0.175,-0.175,0.11
hilarious,0.796,0.2786,0.425,0.2786,0.796
honestly,0.296,-0.0448,0.5,-0.0448,0.5
honored,0.704,0.546,0.7,0.546,0.704
hope,0.734,0.0632,0.475,0.0632,0.734
hopeless,-0.64,-0.1234,-0.5,-0.64,-0.1234
horrendous,-0.89,-0.2098,-0.7,-0.89,-0.2098
horrible,-0.89,-0.3902,-0.625,-0.89,-0.3902
horrid,-0.828,-0.34,-0.625,-0.828,-0.34
horrific,-0.796,-0.2992,-0.85,-0.85,-0.2992
horrified,-0.75,-0.1112,-0.625,-0.75,-0.1112
horror,-0.796,-0.0082,-0.675,-0.796,-0.0082
humor,0.454,0.2452,0.275,0.2452,0.454
hurt,-0.374,-0.3162,-0.6,-0.6,-0.3162
hurts,-0.64,-0.4908,-0.525,-0.64,-0.4908
ignorant,-0.734,0.0042,-0.275,-0.734,0.0042
ignore,-0.25,0.018,-0.375,-0.375,0.018
ignored,-0.484,-0.2986,-0.325,-0.484,-0.2986
ill,-0.672,0.2402,-0.45,-0.672,0.2402
immune,0.266,-0.2582,0.3,-0.2582,0.3
impersonal,-0.25,-0.102,-0.325,-0.325,-0.102
impressed,0.812,0.0534,0.525,0.0534,0.812
innocent,0.39,0.0276,0.35,0.0276,0.39
inspired,0.594,0.2932,0.55,0.2932,0.594
inspiring,0.75,0.381,0.45,0.381,0.75
interested,0.484,0.1914,0.425,0.1914,0.484
interesting,0.75,0.1946,0.425,0.1946,0.75
join,0.422,0.1802,0.3,0.1802,0.422
joke,0.36,-0.0038,0.3,-0.0038,0.36
jumpy,-0.282,-0.0476,-0.25,-0.282,-0.0476
kewl,0.594,0.2696,0.325,0.2696,0.594
kill,-0.968,-0.1342,-0.925,-0.968,-0.1342
killed,-0.922,-0.257,-0.875,-0.922,-0.257
kudos,0.672,0.3246,0.575,0.3246,0.672
laugh,0.734,0.224,0.65,0.224,0.734
leave,-0.516,-0.1532,-0.05,-0.516,-0.05
liar,-0.718,-0.0198,-0.575,-0.718,-0.0198
liked,0.876,0.1218,0.45,0.1218,0.876
lmao,0.656,0.0946,0.5,0.0946,0.725
lmfao,0.188,0.0954,0.625,0.0954,0.625
lol,0.25,0.116,0.725,0.116,0.725
lonely,-0.234,-0.3892,-0.375,-0.3892,-0.234
lose,-0.562,-0.1826,-0.425,-0.562,-0.1826
losing,-0.546,-0.305,-0.4,-0.546,-0.305
lost,-0.454,-0.3106,-0.325,-0.454,-0.3106
love,0.876,0.2166,0.8,0.2166,0.876
loved,0.86,0.1398,0.725,0.1398,0.86
lovely,0.828,0.2152,0.7,0.2152,0.828
loves,0.984,0.2414,0.675,0.2414,0.984
loving,0.876,0.2704,0.725,0.2704,0.876
low,-0.188,-0.1022,-0.275,-0.275,-0.1022
luck,0.672,0.1254,0.5,0.1254,0.672
mad,-0.624,-0.1912,-0.55,-0.624,-0.1912
magnificent,0.844,0.2602,0.725,0.2602,0.844
marvelous,0.828,0.3372,0.725,0.3372,0.828
mediocrity,-0.36,0.1792,-0.075,-0.36,0.1792
mess,-0.656,-0.0794,-0.375,-0.656,-0.0794
miss,0.062,-0.3296,-0.15,-0.3296,0.062
missed,-0.156,-0.235,-0.3,-0.3,-0.156
misses,-0.188,-0.3606,-0.225,-0.3606,-0.188
